ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
CFR,Cullen/Frost Bankers Inc.,stocks,us,XNYS,CS,True,usd,0000039263,BBG000C2PL98,BBG001S6D2D0,2024-04-19T00:00:00Z
CFSB,"CFSB Bancorp, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001879103,BBG014H7HX32,BBG014H7HXZ7,2024-04-19T00:00:00Z
CG,The Carlyle Group Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001527166,BBG000BH3F20,BBG001S7JM84,2024-04-19T00:00:00Z
CGA,CHINA GREEN AGRICULTURE INC,stocks,us,XNYS,CS,True,usd,0000857949,BBG000D5F435,BBG001S7HL24,2024-04-19T00:00:00Z
CGAU,Centerra Gold Inc.,stocks,us,XNYS,CS,True,usd,0001854640,BBG000QWM2M7,BBG001SLVFY5,2024-04-19T00:00:00Z
CGBD,"Carlyle Secured Lending, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001544206,BBG00GQVWWP4,BBG00GQVWWQ3,2024-04-19T00:00:00Z
CGC,Canopy Growth Corporation Common Shares,stocks,us,XNAS,CS,True,usd,0001737927,BBG0069FB082,BBG001T6MH82,2024-04-19T00:00:00Z
CGEM,"Cullinan Oncology, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001789972,BBG00HW2DGQ4,BBG00HW2DGR3,2024-04-19T00:00:00Z
CGEN,Compugen Ltd,stocks,us,XNAS,CS,True,usd,0001119774,,,2024-04-19T00:00:00Z
CGNT,Cognyte Software Ltd. Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001824814,,,2024-04-19T00:00:00Z
CGNX,Cognex Corp,stocks,us,XNAS,CS,True,usd,0000851205,BBG000BPBVW5,BBG001S5TC16,2024-04-19T00:00:00Z
CGO,Calamos Global Total Return Fund,stocks,us,XNAS,CS,True,usd,0001285650,BBG000NPGLP7,BBG001SKVJY9,2024-04-19T00:00:00Z
CGON,"CG Oncology, Inc. Common stock",stocks,us,XNAS,CS,True,usd,0001991792,BBG00YHKK4Q3,BBG00YHKK4R2,2024-04-19T00:00:00Z
CGTX,"Cognition Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001455365,BBG001J2P8S7,BBG001V0GFB9,2024-04-19T00:00:00Z
CHAA,Catcha Investment Corp,stocks,us,XASE,CS,True,usd,0001838293,,,2024-04-19T00:00:00Z
CHCI,"Comstock Holding Companies, Inc. Class A",stocks,us,XNAS,CS,True,usd,0001299969,BBG000Q808Z7,BBG001SMCN40,2024-04-19T00:00:00Z
CHCO,City Holding Co,stocks,us,XNAS,CS,True,usd,0000726854,BBG000BFJFX3,BBG001S5PR71,2024-04-19T00:00:00Z
CHCT,"Community Healthcare Trust Incorporated Common Stock, $0.01 par value per share",stocks,us,XNYS,CS,True,usd,0001631569,BBG008G2P3M2,BBG008G2P3N1,2024-04-19T00:00:00Z
CHD,"Church & Dwight Co., Inc.",stocks,us,XNYS,CS,True,usd,0000313927,BBG000BFJT36,BBG001S5PR99,2024-04-19T00:00:00Z
CHDN,Churchill Downs Inc,stocks,us,XNAS,CS,True,usd,0000020212,BBG000BGXMG9,BBG001S67Z80,2024-04-19T00:00:00Z
CHE,Chemed Corporation,stocks,us,XNYS,CS,True,usd,0000019584,BBG000C19QW1,BBG001S679X0,2024-04-19T00:00:00Z
CHEF,The Chef's Warehouse Inc,stocks,us,XNAS,CS,True,usd,0001517175,BBG001MFW6D6,BBG001V11JN2,2024-04-19T00:00:00Z
CHEK,Check-Cap Ltd.,stocks,us,XNAS,CS,True,usd,0001610590,,,2024-04-19T00:00:00Z
CHGG,"CHEGG, INC.",stocks,us,XNYS,CS,True,usd,0001364954,BBG0014XR0N5,BBG001TBCK85,2024-04-19T00:00:00Z
CHH,Choice Hotels Intnl.,stocks,us,XNYS,CS,True,usd,0001046311,BBG000BPBTL2,BBG001S997X6,2024-04-19T00:00:00Z
CHI,Calamos Convertible Opportunities and Income Fund,stocks,us,XNAS,CS,True,usd,0001171471,BBG000D8GTW1,BBG001SG6175,2024-04-19T00:00:00Z
CHK,Chesapeake Energy Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000895126,BBG00Z6DX554,BBG00Z6DX607,2024-04-19T00:00:00Z
CHKP,Check Point Software Technologies Ltd,stocks,us,XNAS,CS,True,usd,0001015922,,,2024-04-19T00:00:00Z
CHMG,Chemung Financial Corp,stocks,us,XNAS,CS,True,usd,0000763563,BBG000BHQ7B3,BBG001S7RT53,2024-04-19T00:00:00Z
CHMI,CHERRY HILL MORTGAGE INVESTMENT CORPORATION,stocks,us,XNYS,CS,True,usd,0001571776,BBG004HQLJH2,BBG004HQLK70,2024-04-19T00:00:00Z
CHNR,"China Natural Resources, Inc.",stocks,us,XNAS,CS,True,usd,0000793628,,,2024-04-19T00:00:00Z
CHPT,"ChargePoint Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001777393,BBG00Q741Z16,BBG00Q741ZS7,2024-04-19T00:00:00Z
CHR,"Cheer Holding, Inc. Ordinary Share",stocks,us,XNAS,CS,True,usd,0001738758,,,2024-04-19T00:00:00Z
CHRD,Chord Energy Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001486159,BBG00Y7BLHL9,BBG00Y7BLJF2,2024-04-19T00:00:00Z
CHRO,Chromocell Therapeutics Corporation,stocks,us,XASE,CS,True,usd,0001919246,BBG01C9YP5V5,BBG01C9YP6S7,2024-04-19T00:00:00Z
CHRS,"Coherus BioSciences, Inc.",stocks,us,XNAS,CS,True,usd,0001512762,BBG0063N8V69,BBG0063N8V87,2024-04-19T00:00:00Z
CHRW,"C.H. Robinson Worldwide, Inc.",stocks,us,XNAS,CS,True,usd,0001043277,BBG000BTCH57,BBG001SB6KF5,2024-04-19T00:00:00Z
CHSN,Chanson International Holding Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001825349,,,2024-04-19T00:00:00Z
CHTR,Charter Comm Inc Del CL A New,stocks,us,XNAS,CS,True,usd,0001091667,BBG000VPGNR2,BBG001T3TDG2,2024-04-19T00:00:00Z
CHUY,"Chuy's Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001524931,BBG001YR4194,BBG001YR4229,2024-04-19T00:00:00Z
CHW,Calamos Global Dynamic Income Fund,stocks,us,XNAS,CS,True,usd,0001396277,BBG000NK3XQ5,BBG001SQN842,2024-04-19T00:00:00Z
CHWY,"Chewy, Inc.",stocks,us,XNYS,CS,True,usd,0001766502,BBG00P19DKZ6,BBG00P19DLQ4,2024-04-19T00:00:00Z
CHX,ChampionX Corporation,stocks,us,XNAS,CS,True,usd,0001723089,BBG00JH9TZ56,BBG00JH9V005,2024-04-19T00:00:00Z
CHY,Calamos Convertible and High Income Fund,stocks,us,XNAS,CS,True,usd,0001222719,BBG000BK02T6,BBG001S8SMN5,2024-04-19T00:00:00Z
CI,The Cigna Group,stocks,us,XNYS,CS,True,usd,0001739940,BBG00KXRCDP0,BBG00KXRCDQ9,2024-04-19T00:00:00Z
CIA,"Citizens, Inc.",stocks,us,XNYS,CS,True,usd,0000024090,BBG000DJ3D29,BBG001S81V90,2024-04-19T00:00:00Z
CIEN,Ciena Corporation,stocks,us,XNYS,CS,True,usd,0000936395,BBG000BP1152,BBG001S61J73,2024-04-19T00:00:00Z
CIFR,Cipher Mining Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001819989,BBG00XYHY0K2,BBG00XYHY0L1,2024-04-19T00:00:00Z
CIGI,Colliers International Group Inc. Subordinate Voting Shares,stocks,us,XNAS,CS,True,usd,0000913353,BBG000BN6P22,BBG001S79G88,2024-04-19T00:00:00Z
CIM,Chimera Investment Corp.,stocks,us,XNYS,CS,True,usd,0001409493,BBG000PFLGY2,BBG001SR1G28,2024-04-19T00:00:00Z
CINF,Cincinnati Financial Corp,stocks,us,XNAS,CS,True,usd,0000020286,BBG000BFPK65,BBG001S5PTM0,2024-04-19T00:00:00Z
CING,Cingulate Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001862150,BBG012G40MY2,BBG012G40NT6,2024-04-19T00:00:00Z
CINT,CI&T Inc,stocks,us,XNYS,CS,True,usd,0001868995,,,2024-04-19T00:00:00Z
CIO,"CITY OFFICE REIT, INC.",stocks,us,XNYS,CS,True,usd,0001593222,BBG005T5RWR6,BBG005T5RWQ7,2024-04-19T00:00:00Z
CION,CION Investment Corporation,stocks,us,XNYS,CS,True,usd,0001534254,BBG009KJ66B4,BBG009KJ66C3,2024-04-19T00:00:00Z
CISO,"CISO Global, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001777319,BBG00SL5GH17,BBG00SL5GJ31,2024-04-19T00:00:00Z
CISS,C3is Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001951067,,,2024-04-19T00:00:00Z
CITE,Cartica Acquisition Corp Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001848437,,,2024-04-19T00:00:00Z
CIVB,"Civista Bancshares, Inc.",stocks,us,XNAS,CS,True,usd,0000944745,BBG000DWZWT4,BBG001S91FV8,2024-04-19T00:00:00Z
CIVI,"Civitas Resources, Inc.",stocks,us,XNYS,CS,True,usd,0001509589,BBG00GLNJ018,BBG00GLNJ0R0,2024-04-19T00:00:00Z
CIX,Comp X International Inc.,stocks,us,XASE,CS,True,usd,0001049606,BBG000BCGY99,BBG001S643N7,2024-04-19T00:00:00Z
CJET,"Chijet Motor Company, Inc. Ordinary Shares",stocks,us,XNAS,CS,True,usd,0001957413,,,2024-04-19T00:00:00Z
CJJD,"China Jo-Jo Drugstores, Inc. (Cayman Islands) Ordinary Shares",stocks,us,XNAS,CS,True,usd,0001856084,,,2024-04-19T00:00:00Z
CKPT,"Checkpoint Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001651407,BBG00F5TPW72,BBG00F5TPW81,2024-04-19T00:00:00Z
CKX,"CKX Lands, Inc.",stocks,us,XASE,CS,True,usd,0000352955,BBG000CTBX52,BBG001S72DB8,2024-04-19T00:00:00Z
CL,Colgate-Palmolive Company,stocks,us,XNYS,CS,True,usd,0000021665,BBG000BFQYY3,BBG001S5PVM5,2024-04-19T00:00:00Z
CLAR,Clarus Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000913277,BBG000C6QPN3,BBG001SBNNC3,2024-04-19T00:00:00Z
CLB,Core Laboratories Inc.,stocks,us,XNYS,CS,True,usd,0001958086,BBG01GG28WR3,BBG01GG28WT1,2024-04-19T00:00:00Z
CLBK,"Columbia Financial, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001723596,BBG003222R31,BBG003222R95,2024-04-19T00:00:00Z
CLBR,Colombier Acquisition Corp. II,stocks,us,XNYS,CS,True,usd,0001995413,,,2024-04-19T00:00:00Z
CLBT,Cellebrite DI Ltd. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001854587,,,2024-04-19T00:00:00Z
CLCO,Cool Company Ltd.,stocks,us,XNYS,CS,True,usd,0001944057,,,2024-04-19T00:00:00Z
CLDI,"Calidi Biotherapeutics, Inc.",stocks,us,XASE,CS,True,usd,0001855485,BBG012QFCL84,BBG012QFCL93,2024-04-19T00:00:00Z
CLDT,CHATHAM LODGING TRUST,stocks,us,XNYS,CS,True,usd,0001476045,BBG000PT6BR8,BBG001T5ZKL8,2024-04-19T00:00:00Z
CLDX,"Celldex Therapeutics, Inc",stocks,us,XNAS,CS,True,usd,0000744218,BBG000FW8LZ9,BBG001S7QN20,2024-04-19T00:00:00Z
CLEU,China Liberal Education Holdings Limited Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001775085,,,2024-04-19T00:00:00Z
CLF,Cleveland-Cliffs Inc.,stocks,us,XNYS,CS,True,usd,0000764065,BBG000BFRF55,BBG001S5PW43,2024-04-19T00:00:00Z
CLFD,"Clearfield, Inc.",stocks,us,XNAS,CS,True,usd,0000796505,BBG000BC35R6,BBG001S5NS35,2024-04-19T00:00:00Z
CLGN,CollPlant Biotechnologies Ltd Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001631487,,,2024-04-19T00:00:00Z
CLH,"Clean Harbors, Inc",stocks,us,XNYS,CS,True,usd,0000822818,BBG000BFRRX8,BBG001S5PW98,2024-04-19T00:00:00Z
CLIR,ClearSign Technologies Corporation Common Stock (DE),stocks,us,XNAS,CS,True,usd,0001434524,BBG00283BTK2,BBG00283BV90,2024-04-19T00:00:00Z
CLMB,"Climb Global Solutions, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000945983,BBG000BCJVD7,BBG001S5T4D1,2024-04-19T00:00:00Z
CLMT,"Calumet Specialty Products Partners, L.P.",stocks,us,XNAS,CS,True,usd,0001340122,BBG000JNSM81,BBG001SPKBJ4,2024-04-19T00:00:00Z
CLNE,Clean Energy Fuels Corp.,stocks,us,XNAS,CS,True,usd,0001368265,BBG000J5J943,BBG001SPD4H0,2024-04-19T00:00:00Z
CLNN,Clene Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001822791,BBG00X3GTK66,BBG00X3GTK84,2024-04-19T00:00:00Z
CLOE,Clover Leaf Capital Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001849058,BBG00ZYZ1L81,BBG00ZYZ1M34,2024-04-19T00:00:00Z
CLOV,"Clover Health Investments, Corp",stocks,us,XNAS,CS,True,usd,0001801170,BBG00SHY90J5,BBG00SHY90K3,2024-04-19T00:00:00Z
CLPR,Clipper Realty Inc. Common Stock,stocks,us,XNYS,CS,True,usd,0001649096,BBG00FY0CZQ9,BBG00FY0CZR8,2024-04-19T00:00:00Z
CLPS,CLPS Incorporation Common Stock,stocks,us,XNAS,CS,True,usd,0001724542,,,2024-04-19T00:00:00Z
CLPT,"ClearPoint Neuro, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001285550,BBG000Q39HV3,BBG001T6D542,2024-04-19T00:00:00Z
CLRB,Cellectar Biosciences INC NEW,stocks,us,XNAS,CS,True,usd,0001279704,BBG000G9WFQ5,BBG001SNWCK2,2024-04-19T00:00:00Z
CLRC,ClimateRock Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001903392,,,2024-04-19T00:00:00Z
CLRO,"ClearOne, Inc. (DE) Common Stock",stocks,us,XNAS,CS,True,usd,0000840715,BBG000F7XWR1,BBG001S9QBR5,2024-04-19T00:00:00Z
CLS,"Celestica, Inc.",stocks,us,XNYS,CS,True,usd,0001030894,BBG000BPS2C3,BBG001S9CXM7,2024-04-19T00:00:00Z
CLSD,"Clearside Biomedical, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001539029,BBG002D4D4X3,BBG002D4D4Z1,2024-04-19T00:00:00Z
CLSK,CLEANSPARK INC,stocks,us,XNAS,CS,True,usd,0000827876,BBG001MB89V6,BBG001S7F576,2024-04-19T00:00:00Z
CLST,"Catalyst Bancorp, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001849867,BBG00ZMYKX53,BBG00ZMYKY06,2024-04-19T00:00:00Z
CLVR,Clever Leaves Holdings Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001819615,BBG00WNRF6M0,BBG00WNRF6S4,2024-04-19T00:00:00Z
CLVT,Clarivate Plc,stocks,us,XNYS,CS,True,usd,0001764046,,,2024-04-19T00:00:00Z
CLW,Clearwater Paper Corporation,stocks,us,XNYS,CS,True,usd,0001441236,BBG000JY3FM3,BBG001T3T1B3,2024-04-19T00:00:00Z
CLWT,Euro Tech Holdings Co Ltd. New,stocks,us,XNAS,CS,True,usd,0001026662,,,2024-04-19T00:00:00Z
CLX,Clorox Company,stocks,us,XNYS,CS,True,usd,0000021076,BBG000BFS7D3,BBG001S5PX50,2024-04-19T00:00:00Z
CM,Canadian Imperial Bank of Commerce,stocks,us,XNYS,CS,True,usd,0001045520,BBG000FKTHQ1,BBG001S5YBB1,2024-04-19T00:00:00Z
CMA,Comerica Incorporated,stocks,us,XNYS,CS,True,usd,0000028412,BBG000C75N77,BBG001S6PXB1,2024-04-19T00:00:00Z
CMAX,"CareMax, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001813914,BBG00VWC4RP8,BBG00VWC4RQ7,2024-04-19T00:00:00Z
CMBM,Cambium Networks Corporation Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001738177,,,2024-04-19T00:00:00Z
CMC,Commercial Metals Company,stocks,us,XNYS,CS,True,usd,0000022444,BBG000BFSND8,BBG001S5PXG8,2024-04-19T00:00:00Z
CMCA,Capitalworks Emerging Markets Acquisition Corp Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001865248,,,2024-04-19T00:00:00Z
CMCL,Caledonia Mining Corporation Plc,stocks,us,XASE,CS,True,usd,0000766011,,,2024-04-19T00:00:00Z
CMCO,Columbus McKinnon Corp/NY,stocks,us,XNAS,CS,True,usd,0001005229,BBG000BCWWV0,BBG001S5VFS7,2024-04-19T00:00:00Z
CMCSA,Comcast Corp,stocks,us,XNAS,CS,True,usd,0001166691,BBG000BFT2L4,BBG001S5PXL2,2024-04-19T00:00:00Z
CMCT,Creative Media & Community Trust Corporation Common stock,stocks,us,XNAS,CS,True,usd,0000908311,BBG000BN7SF1,BBG001S8G3W0,2024-04-19T00:00:00Z
CME,CME Group Inc.,stocks,us,XNAS,CS,True,usd,0001156375,BBG000BHLYP4,BBG001S86547,2024-04-19T00:00:00Z
CMG,"Chipotle Mexican Grill, Inc.",stocks,us,XNYS,CS,True,usd,0001058090,BBG000QX74T1,BBG001SP50B3,2024-04-19T00:00:00Z
CMI,Cummins Inc.,stocks,us,XNYS,CS,True,usd,0000026172,BBG000BGPTV6,BBG001S5Q9M3,2024-04-19T00:00:00Z
CMLS,Cumulus Media Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001058623,BBG00L2X8XM3,BBG00L2X8YN0,2024-04-19T00:00:00Z
CMND,Clearmind Medicine Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001892500,BBG01237P3C8,BBG00KWY2X19,2024-04-19T00:00:00Z
CMP,"Compass Minerals International, Inc.",stocks,us,XNYS,CS,True,usd,0001227654,BBG000C42WS4,BBG001SDY0X4,2024-04-19T00:00:00Z
CMPO,"CompoSecure, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001823144,BBG00XTTT297,BBG00XTTT2B4,2024-04-19T00:00:00Z
CMPR,Cimpress PLC Ordinary Shares (Ireland),stocks,us,XNAS,CS,True,usd,0001262976,,,2024-04-19T00:00:00Z
CMPX,"Compass Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001738021,BBG00LPXKF25,BBG00LPXKF34,2024-04-19T00:00:00Z
CMRE,Costamare Inc.,stocks,us,XNYS,CS,True,usd,0001503584,,,2024-04-19T00:00:00Z
CMRX,"Chimerix, Inc.",stocks,us,XNAS,CS,True,usd,0001117480,BBG000R33651,BBG001T921D7,2024-04-19T00:00:00Z
CMS,CMS Energy Corporation,stocks,us,XNYS,CS,True,usd,0000811156,BBG000BFVXX0,BBG001S5PYJ3,2024-04-19T00:00:00Z
CMT,"Core Molding Technologies, Inc.",stocks,us,XASE,CS,True,usd,0001026655,BBG000F4PNF0,BBG001S9F9R2,2024-04-19T00:00:00Z
CMTG,"Claros Mortgage Trust, Inc.",stocks,us,XNYS,CS,True,usd,0001666291,BBG00PT33805,BBG00PT33814,2024-04-19T00:00:00Z
CMTL,Comtech Telecommunications,stocks,us,XNAS,CS,True,usd,0000023197,BBG000BFW9K6,BBG001S5PYN8,2024-04-19T00:00:00Z
CNA,CNA Financial Corporation,stocks,us,XNYS,CS,True,usd,0000021175,BBG000BFYB47,BBG001S5PYX7,2024-04-19T00:00:00Z
CNC,Centene Corporation,stocks,us,XNYS,CS,True,usd,0001071739,BBG000BDXCJ5,BBG001S6T7Q8,2024-04-19T00:00:00Z
CNDA,Concord Acquisition Corp II,stocks,us,XNYS,CS,True,usd,0001851959,BBG00ZVTY6M9,BBG00ZVTY6P6,2024-04-19T00:00:00Z
CNDT,Conduent Incorporated Common Stock,stocks,us,XNAS,CS,True,usd,0001677703,BBG00C1BZMT9,BBG00C1BZMV6,2024-04-19T00:00:00Z
CNET,ZW Data Action Technologies Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001376321,BBG000KBG7Z1,BBG001SPQXT9,2024-04-19T00:00:00Z
CNEY,CN Energy Group Inc. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001780785,,,2024-04-19T00:00:00Z
CNFR,"Conifer Holdings, Inc",stocks,us,XNAS,CS,True,usd,0001502292,BBG007N6V6Y0,BBG007N6V6Z9,2024-04-19T00:00:00Z
CNGL,Canna-Global Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001867443,BBG01236GZ20,BBG01236GZ75,2024-04-19T00:00:00Z
CNHI,CNH INDUSTRIAL N.V.,stocks,us,XNYS,CS,True,usd,0001567094,,,2024-04-19T00:00:00Z
CNI,Canadian National Railway,stocks,us,XNYS,CS,True,usd,0000016868,BBG000HS74G6,BBG001S8WVQ7,2024-04-19T00:00:00Z
CNK,"Cinemark Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001385280,BBG000QDVR53,BBG001SS31W4,2024-04-19T00:00:00Z
CNM,"Core & Main, Inc.",stocks,us,XNYS,CS,True,usd,0001856525,BBG01163K2X0,BBG01163K3R5,2024-04-19T00:00:00Z
CNMD,CONMED Corporation,stocks,us,XNYS,CS,True,usd,0000816956,BBG000BFZVH8,BBG001S5PZH2,2024-04-19T00:00:00Z
CNNE,"Cannae Holdings, Inc. Common Stock",stocks,us,XNYS,CS,True,usd,0001704720,BBG00GXRNJP4,BBG00GXRNJQ3,2024-04-19T00:00:00Z
CNO,"CNO Financial Group, Inc.",stocks,us,XNYS,CS,True,usd,0001224608,BBG000Q1GK24,BBG001SBR6X3,2024-04-19T00:00:00Z
CNOB,Center Bancorp Inc,stocks,us,XNAS,CS,True,usd,0000712771,BBG000BD2D25,BBG001S6YLR0,2024-04-12T00:00:00Z
CNOBP,"ConnectOne Bancorp, Inc. Depositary Shares, each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A",stocks,us,XNAS,CS,True,usd,0000712771,,,2024-04-19T00:00:00Z
CNP,"CenterPoint Energy, Inc.",stocks,us,XNYS,CS,True,usd,0001130310,BBG000FDBX90,BBG001SB10S0,2024-04-19T00:00:00Z
CNQ,Canadian Natural Resources Limited,stocks,us,XNYS,CS,True,usd,0001017413,BBG000HW5GX3,BBG001S5YC56,2024-04-19T00:00:00Z
CNS,Cohen & Steers Inc.,stocks,us,XNYS,CS,True,usd,0001284812,BBG000BB0WG4,BBG001S5PZN5,2024-04-19T00:00:00Z
CNSL,"Consolidated Communications Holdings, Inc.",stocks,us,XNAS,CS,True,usd,0001304421,BBG000B9YSS8,BBG001S5PL29,2024-04-19T00:00:00Z
CNSP,"CNS Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001729427,BBG00PM24T16,BBG00PM24TS7,2024-04-19T00:00:00Z
CNTG,Centogene N.V. Common Shares,stocks,us,XNAS,CS,True,usd,0001757097,,,2024-04-19T00:00:00Z
CNTX,Context Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001842952,BBG011YW6H86,BBG011YW6J46,2024-04-19T00:00:00Z
CNTY,Century Casinos Inc,stocks,us,XNAS,CS,True,usd,0000911147,BBG000BMXYT6,BBG001S6MDN5,2024-04-19T00:00:00Z
CNVS,Cineverse Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001173204,BBG000BRSS32,BBG001SBM4H1,2024-04-19T00:00:00Z
CNX,CNX Resources Corporation,stocks,us,XNYS,CS,True,usd,0001070412,BBG000CKVSG8,BBG001SC7TN4,2024-04-19T00:00:00Z
CNXC,Concentrix Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001803599,BBG00RCNQMX3,BBG00RCNQMY2,2024-04-19T00:00:00Z
CNXN,PC Connection Inc,stocks,us,XNAS,CS,True,usd,0001050377,BBG000BX74M4,BBG001S96MG5,2024-04-19T00:00:00Z
COCH,"Envoy Medical, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001840877,BBG00Z6RQKY6,BBG00Z6RQKZ5,2024-04-19T00:00:00Z
COCO,"The Vita Coco Company, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001482981,BBG012QFVSL3,BBG012QFVTF8,2024-04-19T00:00:00Z
COCP,"Cocrystal Pharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001412486,BBG000V27360,BBG001T107W2,2024-04-19T00:00:00Z
CODA,"Coda Octopus Group, Inc. Common stock",stocks,us,XNAS,CS,True,usd,0001334325,BBG000C3P831,BBG001S7WGC7,2024-04-19T00:00:00Z
CODI,Compass Diversified,stocks,us,XNYS,CS,True,usd,0001345126,BBG000L35KD5,BBG001SPY7K6,2024-04-19T00:00:00Z
CODX,"Co-Diagnostics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001692415,BBG004HTR2D1,BBG004HTR2F9,2024-04-19T00:00:00Z
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001759186,BBG00XTTT1C5,BBG00XTTT1D4,2024-04-19T00:00:00Z
COF,Capital One Financial,stocks,us,XNYS,CS,True,usd,0000927628,BBG000BGKTF9,BBG001S65PV8,2024-04-19T00:00:00Z
COFS,CHOICEONE FINANCIAL,stocks,us,XNAS,CS,True,usd,0000803164,BBG000LLRNX3,BBG001SDXH04,2024-04-19T00:00:00Z
COGT,"Cogent Biosciences, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001622229,BBG007DHZQR7,BBG007DHY102,2024-04-19T00:00:00Z
COHN,Cohen & Company Inc,stocks,us,XASE,CS,True,usd,0001270436,BBG000BN06T1,BBG001S9Q071,2024-04-19T00:00:00Z
COHR,Coherent Corp.,stocks,us,XNYS,CS,True,usd,0000820318,BBG000BLW102,BBG001S5S6N6,2024-04-19T00:00:00Z
COHU,Cohu Inc,stocks,us,XNAS,CS,True,usd,0000021535,BBG000DKMJ86,BBG001S87LQ7,2024-04-19T00:00:00Z
COIN,"Coinbase Global, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001679788,BBG00ZGF7771,BBG00ZGF7799,2024-04-19T00:00:00Z
COKE,"Coca-Cola Consolidated, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000317540,BBG000BG1SX2,BBG001S5Q0W1,2024-04-19T00:00:00Z
COLB,Columbia Banking Systems Inc,stocks,us,XNAS,CS,True,usd,0000887343,BBG000CTGXS2,BBG001S72GJ3,2024-04-19T00:00:00Z
COLD,"Americold Realty Trust, Inc.",stocks,us,XNYS,CS,True,usd,0001455863,BBG000QF05R6,BBG001SMQ866,2024-04-19T00:00:00Z
COLL,"Collegium Pharmaceutical, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001267565,BBG000N7LPW4,BBG001T535S9,2024-04-19T00:00:00Z
COLM,Columbia Sportswear Co,stocks,us,XNAS,CS,True,usd,0001050797,BBG000BKKQ84,BBG001S90WD2,2024-04-19T00:00:00Z
COMM,"CommScope Holding Company, Inc.",stocks,us,XNAS,CS,True,usd,0001517228,BBG004LTL7L2,BBG004LTL7M1,2024-04-19T00:00:00Z
COMP,"Compass, Inc.",stocks,us,XNYS,CS,True,usd,0001563190,BBG00J5SXTH3,BBG00J5SXTJ1,2024-04-19T00:00:00Z
CONN,Conn's Inc.,stocks,us,XNAS,CS,True,usd,0001223389,BBG000BRWGM2,BBG001SBSKG0,2024-04-19T00:00:00Z
